Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Gulch Fire,"August 29, 2022 at 4:22 PM","August 29, 2022 at 4:22 PM",,
Branstetter Fire,"September 1, 2022 at 2:08 PM","September 3, 2022 at 7:22 PM",,
Walker Fire,"September 1, 2022 at 5:39 PM","September 10, 2022 at 7:12 PM",,
Woods Fire,"September 2, 2022 at 7:57 AM","September 4, 2022 at 6:15 PM",,
Tower Fire,"September 2, 2022 at 4:22 PM","September 4, 2022 at 6:14 PM",,
Sandia Fire,"September 4, 2022 at 3:03 PM","September 4, 2022 at 5:01 PM",,
Caesar Fire,"September 5, 2022 at 12:48 PM","September 6, 2022 at 7:10 PM",,
Hill Fire,"September 6, 2022 at 8:44 AM","September 8, 2022 at 8:38 AM",,
Rosa Fire,"September 6, 2022 at 3:43 PM","September 7, 2022 at 7:27 AM",,
Power Fire,"September 6, 2022 at 4:25 PM","September 9, 2022 at 5:22 PM",,
Coyote Fire,"September 7, 2022 at 5:56 PM","September 13, 2022 at 7:18 PM",,
Eliza Fire,"September 8, 2022 at 8:17 PM","September 9, 2022 at 7:43 AM",,
Forward Fire,"September 9, 2022 at 5:13 PM","September 17, 2022 at 7:26 AM",,
Dutch Fire,"September 13, 2022 at 2:45 PM","September 19, 2022 at 6:47 PM",,
Garden Fire,"September 17, 2022 at 3:04 PM","September 19, 2022 at 6:45 PM",,
Irie Fire,"September 21, 2022 at 3:09 PM","September 21, 2022 at 3:15 PM",,
Manzanita Fire,"September 23, 2022 at 4:40 PM","September 23, 2022 at 4:41 PM",,
97 Fire,"September 28, 2022 at 8:59 AM","September 29, 2022 at 7:34 AM",,
Howard Fire,"October 8, 2022 at 6:15 PM","October 8, 2022 at 6:15 PM",,
Pleasant Fire,"October 24, 2022 at 1:51 PM","October 24, 2022 at 6:06 PM",,
