Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Blue Water Fire,"July 7, 2024 at 9:48 AM","July 12, 2024 at 2:27 PM",,
Vista Fire,"July 7, 2024 at 2:20 PM","August 6, 2024 at 9:18 AM",,
Post Fire,"July 7, 2024 at 2:37 PM","July 7, 2024 at 6:18 PM",,
North Fire,"July 7, 2024 at 5:14 PM","July 11, 2024 at 7:50 PM","MCU-034, MCU-034MCU, MCU-038",
Royal Fire,"July 7, 2024 at 7:06 PM","July 20, 2024 at 1:50 PM",,
Hilldale Fire,"July 7, 2024 at 9:24 PM","July 8, 2024 at 8:18 AM",,
Tesla Fire,"July 8, 2024 at 1:22 PM","July 10, 2024 at 5:28 PM",,
Sand Fire,"July 8, 2024 at 3:19 PM","July 9, 2024 at 11:37 AM",,
Mina Fire,"July 8, 2024 at 3:18 PM","July 22, 2024 at 8:10 AM",MEN-1COV01,
Bogus Fire,"July 8, 2024 at 5:02 PM","July 15, 2024 at 7:50 PM","MTF-3410, MTF-3410SIS, SIS-3309, SIS-3309SIS, SIS-3312, SIS-3315, SIS-3318, SIS-3321, SIS-3413, SIS-3416","MTF-3410, MTF-3410SIS, SIS-3309, SIS-3309SIS, SIS-3312, SIS-3315, SIS-3318, SIS-3321, SIS-3413, SIS-3416"
Franklin Fire,"July 8, 2024 at 6:45 PM","July 8, 2024 at 10:24 PM",,
Caliente Fire,"July 8, 2024 at 10:23 PM","July 9, 2024 at 7:51 PM",,
Cow 2 Fire,"July 9, 2024 at 11:37 AM","July 16, 2024 at 2:31 PM",,
Teresa Fire,"July 9, 2024 at 1:31 PM","July 12, 2024 at 6:57 AM",,
Todd Fire,"July 9, 2024 at 4:02 PM","July 10, 2024 at 5:28 PM",,
Panoche Fire,"July 9, 2024 at 7:30 PM","July 9, 2024 at 9:51 PM",,
Woodland Fire,"July 10, 2024 at 2:51 PM","July 12, 2024 at 10:40 PM",,
Poppy Fire,"July 10, 2024 at 3:21 PM","July 12, 2024 at 7:45 AM",,
Point Fire,"July 10, 2024 at 7:12 PM","July 20, 2024 at 2:23 PM",,"AHUM-E220, BHUM-E220, HUM-E201, HUM-E220"
Breckenridge Fire,"July 9, 2024 at 5:59 PM","July 9, 2024 at 9:37 PM",,
Ranch Fire,"July 10, 2024 at 8:16 PM","July 12, 2024 at 7:41 AM",,
Railbridge Fire,"July 11, 2024 at 4:44 PM","July 13, 2024 at 7:28 PM","BUT-PAL, PAL-886BUT, PAL-887BUT, PAL-890",BUT-PAL
Carrizo 5 Fire,"July 12, 2024 at 7:25 AM","July 12, 2024 at 7:25 AM",,
Bluff Fire,"July 12, 2024 at 12:45 PM","July 13, 2024 at 11:23 AM",,"BAN-0152, RVC-0153, RVC-0153BAN"
Ranch Fire,"July 12, 2024 at 1:20 PM","July 12, 2024 at 10:40 PM",,
Athens Fire,"July 12, 2024 at 1:53 PM","July 13, 2024 at 6:56 AM",,
Pauba Fire,"July 12, 2024 at 1:58 PM","July 14, 2024 at 9:05 AM","RVC-2218, RVC-2218RVC, RVC-2272, RVC-2273","RVC-2218, RVC-2218RVC, RVC-2272, RVC-2273"
Indiana Fire,"July 12, 2024 at 5:32 PM","July 12, 2024 at 6:48 PM",,
Pilot Fire,"July 12, 2024 at 5:41 PM","July 15, 2024 at 10:01 AM",,
Hurricane Fire,"July 13, 2024 at 11:01 AM","July 17, 2024 at 10:46 AM",KRN-249,
Soda Fire,"July 13, 2024 at 11:52 AM","July 23, 2024 at 2:40 PM",,
White Fire,"July 13, 2024 at 11:48 AM","July 26, 2024 at 9:56 PM","BKRN-150, KRN-150, RED-CROSS",
2024 SQF Lightning Complex,"July 13, 2024 at 12:44 PM","September 16, 2024 at 5:11 PM","AKRN-403, AKRN-737KRN, AKRN-747, ATLC-E250TLC, ATLC-E261, ATLC-E274, ATLC-E297, BKRN-736KRN, BKRN-741KRN, BTLC-E274, KRN-403, KRN-734, KRN-734KRN, KRN-735, KRN-736, KRN-736KRN, KRN-737, KRN-738, KRN-739, KRN-740, KRN-741, KRN-742, KRN-743, KRN-747, KRN-748, TLC-E250, TLC-E250TLC, TLC-E261, TLC-E274, TLC-E297",
Minor Fire,"July 13, 2024 at 1:54 PM","July 15, 2024 at 9:26 AM",,
Rancho Fire,"July 13, 2024 at 3:11 PM","July 26, 2024 at 9:56 PM","KRN-118, KRN-118KRN, KRN-495",
Packsaddle Fire,"July 13, 2024 at 4:13 PM","July 19, 2024 at 8:49 AM",,
Horse Fire (Previously 3-7),"July 13, 2024 at 6:23 PM","July 22, 2024 at 5:53 AM",,
Rim Fire,"July 13, 2024 at 6:25 PM","July 23, 2024 at 6:10 AM",,"LAS-141, LAS-145, LAS-159"
Quality Fire,"July 13, 2024 at 9:20 PM","July 16, 2024 at 10:54 AM",,
Mcnab Fire,"July 14, 2024 at 11:52 AM","July 15, 2024 at 10:01 AM",,
Solar Fire,"July 14, 2024 at 12:58 PM","July 15, 2024 at 12:31 PM",,
Laura Fire,"July 14, 2024 at 3:13 PM","July 17, 2024 at 11:34 AM",KRN-750,KRN-750
Dewey Fire,"July 14, 2024 at 6:41 PM","July 17, 2024 at 6:38 PM",,
Pickett Fire,"July 15, 2024 at 10:02 AM","July 26, 2024 at 9:15 AM",,
Lost Hills Fire,"July 14, 2024 at 10:04 PM","July 20, 2024 at 1:50 PM",,
Holloway Fire,"July 14, 2024 at 10:20 PM","July 15, 2024 at 10:02 AM",,
Paradise Fire,"July 15, 2024 at 3:38 PM","July 16, 2024 at 7:59 PM","ASIS-3306SIS, BSIS-3407, MTF-3410, SIS-3306, SIS-3309, SIS-3407, SIS-3413","ASIS-3306SIS, BSIS-3407, MTF-3410, SIS-3306, SIS-3309, SIS-3407, SIS-3413"
5 Fire,"July 15, 2024 at 4:33 PM","July 19, 2024 at 7:02 PM",,
Point Fire,"July 15, 2024 at 7:18 PM","July 16, 2024 at 10:54 AM",,
San Joaquin Fire,"July 16, 2024 at 10:54 AM","July 16, 2024 at 10:54 AM",,
Hill Fire,"July 16, 2024 at 11:08 AM","August 6, 2024 at 10:37 AM","AHUM-E062HUM, AHUM-E063, AHUM-E076, AHUM-E077, AHUM-E114, BHUM-E076, BHUM-E077, BHUM-E100, CA-96, HUM-E052, HUM-E062, HUM-E063, HUM-E076, HUM-E077, HUM-E100, HUM-E114",
Willow Fire,"July 16, 2024 at 5:14 PM","July 19, 2024 at 7:02 PM",,
Donomore Fire,"July 17, 2024 at 4:27 PM","July 21, 2024 at 10:48 AM",,
Sentinel Fire,"July 17, 2024 at 5:16 PM","August 6, 2024 at 9:18 AM",,
Sloane Fire,"July 17, 2024 at 5:22 PM","July 19, 2024 at 9:21 PM",,
Ducor 2 Fire,"July 18, 2024 at 5:54 PM","July 20, 2024 at 1:50 PM",,
Tire Fire,"July 18, 2024 at 8:46 PM","July 19, 2024 at 8:46 AM",,
Dorado Fire,"July 19, 2024 at 12:24 AM","July 20, 2024 at 12:50 PM",,
Panoche Fire,"July 19, 2024 at 8:29 PM","July 19, 2024 at 8:29 PM",,
Liberty Fire,"July 19, 2024 at 2:32 PM","July 19, 2024 at 3:57 PM",,
Deer Fire,"July 19, 2024 at 3:59 PM","July 20, 2024 at 8:56 AM",,
Abbey Fire,"July 19, 2024 at 5:01 PM","July 21, 2024 at 10:48 AM",,
Fork Fire,"July 19, 2024 at 4:57 PM","July 28, 2024 at 10:26 PM",,
La Tuna Fire,"July 19, 2024 at 5:41 PM","July 22, 2024 at 1:21 PM",,
Lehi Fire,"July 19, 2024 at 6:21 PM","July 21, 2024 at 10:48 AM",,
Lookout Fire,"July 20, 2024 at 6:31 AM","July 21, 2024 at 8:23 PM",,
Tin Fire,"July 20, 2024 at 6:36 PM","July 21, 2024 at 5:29 PM",,
Rios Fire,"July 20, 2024 at 6:36 PM","July 21, 2024 at 10:03 AM",,
Coyote Fire,"July 20, 2024 at 6:46 PM","July 21, 2024 at 2:18 PM",,
Peach Fire,"July 21, 2024 at 5:29 AM","July 23, 2024 at 6:57 AM",,
Eagle Fire,"July 21, 2024 at 2:28 PM","July 23, 2024 at 4:39 PM",,
Hawarden Fire,"July 21, 2024 at 2:56 PM","July 25, 2024 at 2:42 PM",,
Canyon Fire,"July 21, 2024 at 6:24 PM","July 25, 2024 at 12:07 PM",,
Wasioja Fire,"July 21, 2024 at 7:04 PM","July 23, 2024 at 10:39 AM",,
Columbia Fire,"July 22, 2024 at 9:02 AM","July 22, 2024 at 5:17 PM",,
Tar Fire,"July 22, 2024 at 12:11 PM","July 22, 2024 at 6:05 PM",,
Gold Complex,"July 22, 2024 at 5:51 PM","July 31, 2024 at 5:36 PM","PLU-074, PLU-074PLU, PLU-076, PLU-076PLU, PLU-093, PLU-094, PLU-094PLU, PLU-095, PLU-095PLU, PLU-096, PLU-097, PLU-098, PLU-099, PLU-100, PLU-111, PLU-112, PLU-113, POR-001, POR-004, POR-006, POR-007",
Pencil Fire,"July 22, 2024 at 5:33 PM","July 28, 2024 at 10:26 PM",,
Juniper Fire,"July 22, 2024 at 6:14 PM","July 23, 2024 at 7:47 AM",,
Maria Fire,"July 23, 2024 at 4:49 AM","July 28, 2024 at 10:26 PM","ACCU-042, CCU-029, CCU-030, CCU-042","ACCU-042, CCU-029, CCU-029CCU, CCU-030, CCU-042"
Border 63 Fire,"July 23, 2024 at 1:27 PM","July 24, 2024 at 7:33 PM",,
Circle Fire,"July 23, 2024 at 1:26 PM","July 25, 2024 at 12:07 PM","MAD-E0971, MAD-E1029, MAD-E1029MAD, MAD-E1033, MAD-E1033MAD, MAD-E1035",
Metz Fire,"July 23, 2024 at 3:15 PM","July 25, 2024 at 9:50 AM",,
Oakdale Fire,"July 23, 2024 at 4:51 PM","July 23, 2024 at 6:37 PM",,
Cow Camp Fire,"July 23, 2024 at 8:33 PM","July 28, 2024 at 10:08 PM",,
Harry Fire,"July 23, 2024 at 6:38 PM","July 24, 2024 at 6:59 AM",,
Beaver Fire,"July 23, 2024 at 11:29 PM","July 24, 2024 at 3:22 PM",,
Acres Fire,"July 24, 2024 at 2:18 PM","July 24, 2024 at 2:18 PM",,
Grove 2 Fire,"July 24, 2024 at 2:15 PM","July 28, 2024 at 10:25 PM","SDC-0047, SDC-0047SDC, SDC-0048, SDC-0048A, SDC-0048ASDC, SDC-0048B, SDC-0048BSDC, SDC-0048SDC, SDC-0075, SDC-0076, SDC-0076A, SDC-0076B, SDC-0077, SDC-0077A, SDC-0077B, SDC-0078, SDC-0078SDC, SDC-0079, SDC-0080, SDC-0126, SDC-0127, SDC-0172, SDC-0173, SDC-0173SDC, SDC-0174, SDC-0175, SDC-0217, SDC-0218","SDC-0048A, SDC-0048ASDC, SDC-0075, SDC-0076A, SDC-0077A, SDC-0078, SDC-0078SDC, SDC-0079, SDC-0080, SDC-0126, SDC-0127, SDC-0172, SDC-0173, SDC-0173SDC, SDC-0174, SDC-0175, SDC-0217, SDC-0218"
Bullion Fire,"July 24, 2024 at 3:34 PM","July 24, 2024 at 10:28 PM",,
Scales Fire,"July 24, 2024 at 3:22 PM","July 27, 2024 at 8:03 PM",,
Park Fire,"July 24, 2024 at 4:45 PM","September 27, 2024 at 7:12 AM","ABUT-BM, ABUT-INS, ACOT-8970COT, AMAN-5000MAN, ASHI-5070, ASHI-5140SHI, ASHI-5250SHI, ASHI-5310SHI, ASHI-5340, ASHI-5350, ATEH-448TEH, ATEH-696, ATEH-720, ATEH-730TEH, ATEH-882, BBUT-CH, BCOT-8990, BM-235BUT, BM-236BUT, BM-237BUT, BM-237TEH, BMIL-5290MIL, BSHI-5120, BSHI-5210SHI, BSHI-5370SHI, BTEH-498, BTEH-500TEH, BTEH-696, BTEH-718, BTEH-720, BTEH-726TEH, BTEH-728TEH, BUT-252, BUT-318A, BUT-BM, BUT-CH, BUT-CNE, BUT-COH, BUT-CSE, BUT-FR, BUT-INS, BUT-MA, BUT-PHI, BUT-SE, BUT-ST, BUT-STI, BUT-TOP, CH-149, CH-149BUT, CH-150BUT, CNE-311BUT, CNE-312BUT, CNE-313BUT, CNE-314BUT, CNE-315BUT, CNE-316BUT, CNE-316TEH, CNE-317BUT, CNE-317PCK, CNE-318, CNE-318BUT, CNE-31BUT, COH-250BUT, COH-251BUT, COH-252BUT, COH-253, COH-253BUT, COH-253TEH, COT-8970, COT-8990, CSE-361BUT, CSE-363BUT, CSE-363DLS, DLS-444, DLS-446, DLS-462, DLS-464, DLS-466, DLS-66, EH-496, FR-260BUT, FR-261BUT, FR-262BUT, FR-263BUT, FR-264BUT, FR-265BUT, FR-266BUT, FR-267, FR-267BUT, FR-268BUT, FR-269BUT, FR-270BUT, FR-271BUT, FR-271TEH, FR-272BUT, FR-272TEH, FR-273BUT, FR-273TEH, INS-244BUT, INS-245BUT, MA-282BUT, MA-285BUT, MA-286BUT, MA-286TEH, MAN-410, MAN-412, MAN-414, MAN-416, MAN-418, MAN-420, MAN-422, MAN-424, MAN-426, MAN-428, MAN-5000, MAN-5010, MAN-5020, MAN-5030, MAN-5040, MAN-5050, MAN-5060, MIL-5280, MIL-5290, MIL-5300, MIL-8960, MIN-700, MIN-702, MIN-704, MIN-706, MIN-708, MIN-710, MLC-712, MLC-714, OLD-5090, PCK-468, PCK-472, PCK-474, PCK-476, PHI-240, PHI-240BUT, PHI-241, PHI-241BUT, PLU-001, PLU-002, PLU-040, PRS-478, PRS-480, PRS-482, PSR-478, PSR-480, PSR-482, SHI-5070, SHI-5080, SHI-5110, SHI-5120, SHI-5130, SHI-5140, SHI-5150, SHI-5170, SHI-5180, SHI-5190, SHI-5200, SHI-5210, SHI-5220, SHI-5230, SHI-5240, SHI-5250, SHI-5250A, SHI-5260, SHI-5270, SHI-5310, SHI-5320, SHI-5330, SHI-5335, SHI-5340, SHI-5350, SHI-5360, SHI-5370, SHI-5380, SHI-5390, SHI-5400, SHI-5410, SHI-5420, SHI-5430, SHI-5440, SHI-5450, SHI-5460, SHI-5470, SHI-5480, SHI-5490, SHI-5500, SHI-5510, SHI-5520, SHI-5530, SHI-5540, SHI-5550, SR-36, SR-44, STI-299BUT, TEH-406, TEH-408, TEH-442, TEH-446, TEH-448, TEH-466, TEH-468, TEH-470, TEH-472, TEH-476, TEH-496, TEH-498, TEH-500, TEH-694, TEH-696, TEH-698, TEH-716, TEH-718, TEH-720, TEH-722, TEH-724, TEH-726, TEH-728, TEH-730, TEH-732, TEH-734, TEH-736, TEH-736TEH, TEH-840, TEH-850, TEH-852, TEH-854, TEH-856, TEH-856TEH, TEH-858, TEH-882, TOP-01BUT, TOP-04BUT, TOP-09BUT, TOP-09TEH",
Horse Fire,"July 25, 2024 at 12:20 PM","July 25, 2024 at 12:20 PM",,
R-6 Fire,"July 24, 2024 at 4:45 PM","July 30, 2024 at 5:31 PM",,
Flora Fire,"July 24, 2024 at 6:08 PM","July 27, 2024 at 7:27 AM",,
Pentz Fire,"July 24, 2024 at 7:59 PM","July 25, 2024 at 5:47 AM",,
Hatchett Fire,"July 25, 2024 at 9:50 AM","July 25, 2024 at 2:09 PM",,
Acorn Fire,"July 25, 2024 at 2:05 PM","July 28, 2024 at 10:25 PM",,
Lawton Fire,"July 25, 2024 at 3:25 PM","July 25, 2024 at 4:15 PM",,
Macy Fire,"July 25, 2024 at 6:19 PM","July 28, 2024 at 10:25 PM",,
Flynn Fire,"July 25, 2024 at 10:25 PM","July 28, 2024 at 7:15 PM",,
Victoria Fire,"July 26, 2024 at 1:24 PM","July 27, 2024 at 7:28 AM",,
Lammers Fire,"July 26, 2024 at 2:48 PM","July 29, 2024 at 10:07 PM",,
Creek Fire,"July 26, 2024 at 5:03 PM","August 2, 2024 at 6:40 PM",ALC-127,
Dockery Fire,"July 27, 2024 at 7:28 AM","July 27, 2024 at 7:28 AM",,
Cosgrove Fire,"July 27, 2024 at 3:50 PM","July 28, 2024 at 10:25 PM",,
Riley Fire,"July 27, 2024 at 8:00 PM","July 31, 2024 at 10:44 PM",,
Museum Fire,"July 27, 2024 at 7:36 PM","July 28, 2024 at 5:18 AM",,
Walnut Fire,"July 28, 2024 at 5:17 AM","July 28, 2024 at 9:07 AM",,
Walker Fire,"July 28, 2024 at 3:47 PM","July 29, 2024 at 10:48 AM",,
Border 65 Fire,"July 28, 2024 at 3:05 PM","July 29, 2024 at 10:07 PM",,
Simpson Fire,"July 30, 2024 at 7:48 AM","August 6, 2024 at 9:18 AM",,
Sunset Fire,"July 28, 2024 at 9:32 PM","July 29, 2024 at 8:57 AM",,
Nixon Fire,"July 29, 2024 at 2:18 PM","August 7, 2024 at 4:36 PM","ANEWRVC-TABLEMT4NEWRVC, ARVC-2280NEWRVC, ARVC-2280RVC, ARVC-2327, ARVC-2369RVC, ARVC-LAKERIVERSIDEESTATES4RVC, ARVC-TABLEMT2RVC, ARVC-TABLEMT4RVC, ARVC-TULE2, BRVC-2327, BRVC-TABLEMT4RVC, BRVC-TULE2, BRVC-TULE4RVC, CBI-CAHUILLA, CBI-CAHUILLA1, RVC-2280, RVC-2280NEW, RVC-2327, RVC-2369, RVC-LAKERIVERSIDEESTATES4, RVC-TABLEMT2, RVC-TABLEMT2NEW, RVC-TABLEMT3, RVC-TABLEMT3NEW, RVC-TABLEMT4, RVC-TABLEMT4NEW, RVC-TABLEMT5, RVC-TABLEMT5NEW, RVC-TABLEMT6, RVC-TABLEMT6NEW, RVC-TABLEMTN4, RVC-TABLEMTN5, RVC-TULE, RVC-TULE1, RVC-TULE1RVC, RVC-TULE2, RVC-TULE3, RVC-TULE4, RVC-TULE5, RVC-TULE6, RVC-TULE7, RVC-TULE8, SDC-0048, SDC-0048NEW, SDC-0048SDC, SDC-0076, SDC-0076NEW, SDC-0077, SDC-0077NEW, SDC-0078, SDC-0078NEW, SDC-0079, SDC-0079NEW, SDC-0080, SDC-0080NEW, SDC-0081, SDC-0081NEW","ARVC-TABLEMT2RVC, CBI-CAHUILLA, CBI-CAHUILLA1, RVC-2280, RVC-2327, RVC-2369, RVC-LAKERIVERSIDEESTATES4, RVC-TABLEMT2, RVC-TABLEMT3, RVC-TABLEMT6, RVC-TABLEMTN4, RVC-TABLEMTN5, RVC-TULE, RVC-TULE1, RVC-TULE1RVC, RVC-TULE2, RVC-TULE3, RVC-TULE4, RVC-TULE5, RVC-TULE6, RVC-TULE7, RVC-TULE8, SDC-0048, SDC-0048SDC, SDC-0076, SDC-0077, SDC-0078, SDC-0079, SDC-0080, SDC-0081"
Cougar Fire,"July 29, 2024 at 7:24 PM","July 31, 2024 at 10:15 AM",,
Carmen Fire,"July 29, 2024 at 6:06 PM","July 30, 2024 at 9:59 PM",,
Border 66 Fire,"July 30, 2024 at 12:15 PM","July 31, 2024 at 10:48 PM",,
Italian Fire,"July 30, 2024 at 2:16 PM","August 6, 2024 at 9:18 AM",,
Pedro Fire,"July 30, 2024 at 2:08 PM","August 8, 2024 at 8:14 PM",,
Plantation Fire,"July 30, 2024 at 6:29 PM","August 1, 2024 at 8:09 AM",,
Eagle Fire,"July 30, 2024 at 6:19 PM","July 31, 2024 at 10:41 PM",,
Borel Fire,"July 24, 2024 at 2:17 PM","September 16, 2024 at 6:25 PM","AKRN-403, AKRN-747, BKRN-102, BKRN-419KRN, BKRN-734KRN, BKRN-748, KRN-100, KRN-102, KRN-403, KRN-419, KRN-729, KRN-730, KRN-731, KRN-732, KRN-733, KRN-734, KRN-735, KRN-736, KRN-737, KRN-738, KRN-739, KRN-740, KRN-741, KRN-742, KRN-743, KRN-744, KRN-747, KRN-748, KRN-749, KRN-750, KRN-752","BKRN-102, BKRN-419KRN, KRN-100, KRN-102, KRN-419, KRN-729, KRN-730, KRN-731, KRN-732, KRN-733, KRN-744, KRN-749, KRN-750, KRN-752"
Pole Fire,"July 30, 2024 at 6:38 PM","August 6, 2024 at 9:18 AM",,
Happy Fire,"July 31, 2024 at 10:33 AM","August 6, 2024 at 9:18 AM",,
Dino Fire,"July 31, 2024 at 5:12 PM","July 31, 2024 at 7:20 PM",,
Alamos Fire,"August 3, 2024 at 6:52 AM","August 5, 2024 at 4:54 PM",MUR-2028,
Tahoe Fire,"August 3, 2024 at 5:27 PM","August 3, 2024 at 8:49 PM",,
Burbank Fire ,"August 3, 2024 at 5:27 PM","August 4, 2024 at 7:11 AM",,
Franklin Fire,"August 4, 2024 at 5:02 PM","August 5, 2024 at 8:17 AM",,
Bella Fire,"August 4, 2024 at 6:43 PM","August 6, 2024 at 6:31 PM",KRN-801,
Gover Fire,"August 5, 2024 at 3:17 PM","August 7, 2024 at 10:43 AM",,
Kimtu Fire,"August 5, 2024 at 4:30 PM","August 7, 2024 at 12:22 PM",,
Middle Fire,"August 5, 2024 at 4:55 PM","August 21, 2024 at 8:51 PM",,
Edgehill Fire,"August 5, 2024 at 4:53 PM","August 8, 2024 at 8:30 AM",,
Town Fire,"August 7, 2024 at 12:45 PM","August 9, 2024 at 8:39 AM",,
Silver Fire,"August 7, 2024 at 2:58 PM","August 12, 2024 at 8:57 PM",,
Purple Fire,"August 7, 2024 at 7:21 PM","August 8, 2024 at 6:53 PM",,"BR-919BUT, BUT-BR, BUT-FORB, BUT-OSE, FORB-686BUT, OSE-836"
Morrison Fire,"August 8, 2024 at 5:03 PM","August 20, 2024 at 11:48 AM",,
Valley Fire,"August 8, 2024 at 6:05 PM","August 8, 2024 at 6:52 PM",,
Canyon Fire,"August 9, 2024 at 12:13 AM","August 14, 2024 at 6:52 AM",,
Boise Fire,"August 9, 2024 at 11:30 AM","September 16, 2024 at 5:11 PM","AHUM-E009, AHUM-E025, BHUM-E025, BSIS-1802, BSIS-1802SIS, DHUM-E009, EHUM-E025, ESIS-1704, ESIS-1704SIS, HUM-E009, HUM-E025, SIS-1704, SIS-1707, SIS-1802, SIS-1805, SIS-1903","AHUM-E009, AHUM-E025, BHUM-E025, BSIS-1802, DHUM-E009, EHUM-E025, ESIS-1704, ESIS-1704SIS, HUM-E009, HUM-E025, SIS-1704, SIS-1802"
Blue Fire,"August 9, 2024 at 3:22 PM","August 10, 2024 at 7:06 PM",,
Cal Fire,"August 9, 2024 at 3:25 PM","August 12, 2024 at 9:07 AM",,
Mack Fire,"August 10, 2024 at 6:04 PM","August 10, 2024 at 9:23 PM",,
Summit Fire,"August 10, 2024 at 3:05 PM","August 13, 2024 at 6:50 AM",,
Lower Fire,"August 10, 2024 at 5:05 PM","August 14, 2024 at 2:08 PM","ASHS-6530, ASHS-6540, BSHS-6540, KES-2750, KES-2750KES, KES-2760, KES-2760KES, KES-2770, KES-2780, KES-2780KES, KES-2790, KES-2790SHS, KES-2900, SHS-2800, SHS-2820, SHS-2830, SHS-2850, SHS-2870, SHS-2880, SHS-2890, SHS-6520, SHS-6530, SHS-6540","ASHS-6530, ASHS-6540, BSHS-6540, KES-2750, KES-2750KES, KES-2760, KES-2760KES, KES-2770, KES-2780, KES-2790, KES-2900, SHS-2800, SHS-2820, SHS-2830, SHS-2850, SHS-2870, SHS-2880, SHS-2890, SHS-6520, SHS-6530, SHS-6540"
Blue Fire,"August 10, 2024 at 6:29 PM","August 11, 2024 at 7:22 AM",,KRN-744
Mission Fire,"August 10, 2024 at 7:13 PM","August 10, 2024 at 9:23 PM",,
Meiss Fire,"August 11, 2024 at 2:27 PM","August 15, 2024 at 8:11 AM",,
Turbine Fire,"August 12, 2024 at 1:58 PM","August 16, 2024 at 9:09 PM",,
Oso Fire,"August 12, 2024 at 2:19 PM","August 13, 2024 at 9:49 PM",,
Reservoir Fire,"August 12, 2024 at 2:26 PM","August 14, 2024 at 2:08 PM",,
Anita Fire,"August 12, 2024 at 2:25 PM","August 15, 2024 at 9:35 AM","SDC-2098, SDC-2217, SDC-2217B",SDC-2098
Queenstone Fire,"August 13, 2024 at 10:49 AM","August 15, 2024 at 2:59 PM",,
Papa Fire,"August 13, 2024 at 2:54 PM","August 18, 2024 at 5:40 PM",,
Moon Fire,"August 13, 2024 at 5:14 PM","August 20, 2024 at 11:48 AM",,
Coffee Pot Fire,"August 13, 2024 at 6:55 PM","October 31, 2024 at 9:05 AM","ATLC-E093, ATLC-E128, BTLC-E094, BTLC-E095, BTLC-E095TLC, BTLC-E128, CTLC-E094, DTLC-E094, TLC-E093, TLC-E094, TLC-E095, TLC-E095TLC, TLC-E127, TLC-E128","ATLC-E093, ATLC-E127B, ATLC-E128, BTLC-E093, BTLC-E094, BTLC-E095, BTLC-E095TLC, BTLC-E128, CTLC-E094, DTLC-E094, DTLC-E127, ETLC-E095, TLC-E093, TLC-E094, TLC-E095, TLC-E095TLC, TLC-E127, TLC-E127B, TLC-E128"
Kahlon Fire,"August 13, 2024 at 6:49 PM","August 13, 2024 at 9:49 PM",,
Bruns Fire,"August 14, 2024 at 2:08 PM","August 14, 2024 at 6:52 PM",,
White Fire,"August 14, 2024 at 5:36 PM","August 18, 2024 at 5:40 PM",,
Zarzo Fire,"August 15, 2024 at 8:11 AM","August 15, 2024 at 10:02 PM",,
Waltz Fire,"August 15, 2024 at 4:23 PM","August 16, 2024 at 7:42 AM",,
Marco Fire,"August 16, 2024 at 5:51 PM","August 18, 2024 at 5:40 PM",,
Pendulum Fire,"August 16, 2024 at 6:51 PM","August 17, 2024 at 9:16 PM",,
Cypress Fire,"August 17, 2024 at 2:26 PM","August 20, 2024 at 6:13 PM",,
Marysville Fire,"August 17, 2024 at 5:58 PM","August 18, 2024 at 9:52 AM",,
Hills Fire,"August 18, 2024 at 5:38 PM","August 19, 2024 at 9:22 AM",,
Grant Fire,"August 19, 2024 at 2:48 PM","August 21, 2024 at 1:12 PM",,
Interlake Fire,"August 19, 2024 at 3:07 PM","August 21, 2024 at 3:29 PM",,
Livermore Fire,"August 19, 2024 at 4:14 PM","August 19, 2024 at 4:40 PM",,
Green Fire,"August 19, 2024 at 4:38 PM","August 21, 2024 at 1:13 PM",,
Railroad Fire,"August 19, 2024 at 6:18 PM","August 21, 2024 at 2:17 PM",,
Quimby Fire,"August 19, 2024 at 8:23 PM","August 22, 2024 at 4:16 PM",,
Bishop Fire,"August 20, 2024 at 8:05 AM","August 20, 2024 at 6:12 PM",,
Rancho Fire,"August 20, 2024 at 2:14 PM","August 20, 2024 at 5:05 PM",,
Grade Fire,"August 20, 2024 at 6:23 PM","August 26, 2024 at 10:26 AM",,
Winchester Fire,"August 21, 2024 at 5:03 AM","August 21, 2024 at 6:45 AM",,
Amaral Fire,"August 21, 2024 at 11:24 AM","August 23, 2024 at 10:10 AM",,"SOL-3020, SOL-3020SOL, SOL-3052, SOL-3054, SOL-3056, SOL-3060, SOL-3062, SOL-3064"
Turner Fire,"August 21, 2024 at 5:24 PM","August 22, 2024 at 7:45 AM",,
Canyon Fire,"August 21, 2024 at 6:13 PM","August 26, 2024 at 9:33 AM",,
Ace Fire,"August 21, 2024 at 6:24 PM","August 21, 2024 at 9:50 PM",,
Beach Fire,"August 22, 2024 at 2:52 PM","August 23, 2024 at 7:24 PM",,
Edna Fire,"August 22, 2024 at 4:28 PM","August 23, 2024 at 7:25 PM",,
Walmort Fire,"August 22, 2024 at 5:49 PM","August 23, 2024 at 12:27 PM",,
Far Fire,"August 23, 2024 at 7:32 AM","August 24, 2024 at 6:13 AM",,
Chevelle Fire,"August 23, 2024 at 8:14 AM","August 24, 2024 at 8:23 PM",,
Refugio Fire,"August 23, 2024 at 10:19 AM","August 26, 2024 at 11:18 AM",,
Motor Fire,"August 23, 2024 at 12:27 PM","August 26, 2024 at 9:34 AM",,
Banning Fire,"August 23, 2024 at 3:39 PM","August 23, 2024 at 10:58 PM",,
Proctor 8 Fire,"August 23, 2024 at 7:25 PM","August 26, 2024 at 12:58 PM",,
Benito Fire,"August 24, 2024 at 2:16 PM","August 26, 2024 at 9:38 AM",,
Summit Fire ,"August 24, 2024 at 4:02 PM","August 25, 2024 at 7:34 PM",,
