incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
33f3bc95-bab6-445a-95d0-58b7cd247431,Juniper Fire,-120.5689,36.1132,Fresno,2023-07-20T13:21:57Z,2023-07-18,2023-07-19,"Highway 198 and Crump Lane, West of Coalinga ",15,https://www.fire.ca.gov/incidents/2023/7/18/juniper-fire/,N
8e5b1375-7f14-4731-aa73-86e5db2e7f70,Idria Fire,-120.801732,36.490487,San Benito,2023-07-22T07:39:37Z,2023-07-19,2023-07-22,"New Idria Road, near New Idria",296,https://www.fire.ca.gov/incidents/2023/7/19/idria-fire/,N
4882ca86-e46f-429b-bc3c-194654bfb01f,Oak Fire,-117.4261,34.0182,Riverside,2023-07-20T19:46:08Z,2023-07-19,2023-07-20,"7100 Block of Sierra Avenue, in Jurupa Valley",137,https://www.fire.ca.gov/incidents/2023/7/19/oak-fire/,N
3501b740-d8be-4b0b-a0c8-cf6c923ee810,Wonder Fire,-122.3232056,40.7316228,Shasta,2023-07-31T17:19:43Z,2023-07-24,,"Wonderland Boulevard and Ponderosa Road, South of Shasta Lake",162,https://www.fire.ca.gov/incidents/2023/7/24/wonder-fire/,N
9e60d69f-373a-45db-b23f-cebb88b82aaf,Long Fire,-119.1521739,36.6932792,Fresno,2023-07-27T13:27:11Z,2023-07-25,,"45,000 block of Longview Rd, near Yokuts Valley, Ca",33,https://www.fire.ca.gov/incidents/2023/7/25/long-fire/,N
44518f29-7ba2-45c1-b6f6-13e3556ee941,Victor Fire,-118.507954,34.356691,Los Angeles,2023-08-09T08:22:32Z,2023-07-25,2023-07-27,"North Sierra Highway and Needham Ranch Parkway, Santa Clarita",70,https://www.fire.ca.gov/incidents/2023/7/25/victor-fire/,N
287f3a55-d3a6-4273-ad3c-c66910a12cb9,Agua Fire,-118.326389,34.438333,Los Angeles,2023-12-05T13:55:55Z,2023-07-25,2023-08-07,"Soledad Canyon, west of Acton",421,https://www.fire.ca.gov/incidents/2023/7/25/agua-fire/,N
6401556e-3e19-467b-8c26-af4a20864672,Turkey Fire,-121.399989,39.446994,Butte,2023-08-03T15:01:36Z,2023-07-26,2023-08-03,"Turkey Creek Trail, Swedes Flat Rd, Bangor",65,https://www.fire.ca.gov/incidents/2023/7/26/turkey-fire/,N
6444fb86-d180-4a36-98fe-e2959a14965d,Sunset Fire,-116.9081,33.9372,Riverside,2023-07-28T19:07:38Z,2023-07-27,2023-07-28,"Mesa Street cross of Gilman Street, Banning CA",103,https://www.fire.ca.gov/incidents/2023/7/27/sunset-fire/,N
3e418d3a-f64b-48cf-9a0a-f6f893ddf75c,Scodie Fire,-118.2148,35.6967,Kern,2023-08-04T10:29:03Z,2023-07-28,,"Highway 178 and Scodie Park Road, near Onyx",20,https://www.fire.ca.gov/incidents/2023/7/28/scodie-fire/,N
