objectid,zone_id,label,globalid,shape_Length,shape_Area
2426,US-CA-XSD-SDC-0291,SDC-0291,{410E5E78-89C9-4817-A927-A33181743E04},27145.702675250959146,27391398.976731169968843
2427,US-CA-XSD-SDC-1684,SDC-1684,{2D0A61BB-62DA-4914-ADAA-B075D1DF9D07},13851.336848161465241,7371968.720277973450720
2428,US-CA-XSD-SDC-1586,SDC-1586,{215B674A-F136-4EC8-B750-BA035BF65D0B},20334.341517006727372,22285901.921335071325302
2429,US-CA-XSD-SDC-1521,SDC-1521,{7E8413AC-BC65-4B13-ABF8-586749A4C84A},34900.368028945136757,61123684.598347410559654
2430,US-CA-XSD-SDC-1491,SDC-1491,{9E8240AB-5255-4ED4-A682-9DC7AD7614AB},35662.379286270901503,22828745.490245275199413
2431,US-CA-XSD-SDC-1488,SDC-1488,{3155F13F-8CDC-450E-9D62-956DDE4088A4},86807.798092503187945,135190343.191001713275909
2432,US-CA-XSD-SDC-2335,SDC-2335,{6F64F95D-4882-45B6-A028-7149E7F39EA2},44388.702041566051776,72527107.926875770092010
2433,US-CA-XSD-SDC-1953,SDC-1953,{25AE06F7-E0F3-4ED0-8904-BAFC3ADA2E11},22212.598063671233831,22482502.202627833932638
2434,US-CA-XSD-SDC-0527,SDC-0527,{C07FFD6D-AEB7-467A-A522-4F8455040537},14107.944957825304300,7813120.613811834715307
2435,US-CA-XSD-SDC-0695,SDC-0695,{17626E06-A07F-488B-8FD6-4F6E292C19D9},21205.233515556912607,16454859.184065330773592
2436,US-CA-XSD-SDC-1012,SDC-1012,{80D3748D-FD1B-4342-95F7-22A30C1357E8},20803.287734031240689,14960118.186148516833782
2437,US-CA-XSD-SDC-2132,SDC-2132,{89A2C1DB-F6FF-46AD-A6A1-80A94641ECB3},10062.191180660505779,6056221.910102528519928
2438,US-CA-XSD-SDC-2416,SDC-2416,{14CB888E-1F48-4CB3-9A2C-8B57624D9FCC},25516.431746482834569,39504080.765641197562218
2439,US-CA-XSD-SDC-1987,SDC-1987,{76976B68-2EA0-4C74-BB57-5DBBB90D3A5F},10705.321345031808960,6642181.756318355910480
2440,US-CA-XSD-SDC-0255,SDC-0255,{A445D33C-6D83-4B1C-979A-E664759372B2},31187.458439675028785,32787585.640941854566336
2441,US-CA-XSD-SDC-2281,SDC-2281,{088DD79E-2023-4260-80E9-2FF18004CDC3},5351.761031276004360,1214357.714730387087911
2442,US-CA-XSD-SDC-0594,SDC-0594,{87476CD6-ACE7-4F27-A898-F53E534D3244},42518.609882882599777,28989075.379703696817160
2443,US-CA-XSD-SDC-2255,SDC-2255,{3E494FB8-305D-4454-A31F-8CD3F4C2909F},11013.970701642538188,5736599.204105766490102
2444,US-CA-XSD-SDC-0347,SDC-0347,{C644BC14-8105-4795-8EC8-B4A3AFC828D8},24363.920651166699827,30260764.370824418962002
2445,US-CA-XSD-SDC-1520,SDC-1520,{76E38109-99C7-4F52-A167-D62428E62264},51656.547884300707665,82529062.841663330793381
2446,US-CA-XSD-SDC-0721,SDC-0721,{A1B751FD-CD6C-483E-899B-79332E850349},14953.639486780102743,12177451.109084980562329
2447,US-CA-XSD-SDC-2432,SDC-2432,{185CFDD2-E941-4F82-8592-A9EE5CE7CAB9},19874.874660496749129,17141027.933999441564083
2448,US-CA-XSD-SDC-0356,SDC-0356,{A0092A87-30F4-41A7-8D1A-58879CDC4ADC},44442.034803088565241,55242061.979057654738426
2449,US-CA-XSD-SDC-1007,SDC-1007,{6028797E-E07A-4FFB-811E-8935656F8E48},21028.331357460563595,19920362.989579144865274
2450,US-CA-XSD-SDC-1673,SDC-1673,{34CE1526-458B-4FBE-BFA2-DA5E6EC26C8D},9368.481762663588597,5172009.468024679459631
2451,US-CA-XSD-SDC-2519,SDC-2519,{04FF540D-FFFB-408D-98A5-54B5276891F8},4889.590305887966679,1210835.806995268911123
2452,US-CA-XSD-SDC-0349,SDC-0349,{7AB9E03C-BC35-47B6-BA4A-7E4C398D06D0},36931.506698969278659,52181615.323603458702564
2453,US-CA-XSD-SDC-2497,SDC-2497,{26466A47-8D4B-4C15-820C-6657E3B22992},9228.095661081313665,5145597.192646164447069
2454,US-CA-XSD-SDC-2454,SDC-2454,{6B83A41A-B02B-49AF-9439-5B689265BDDD},9396.200346614969021,3492914.769002829678357
2455,US-CA-XSD-SDC-0057,SDC-0057,{0749A54D-2DF7-4D11-BB48-3F5017751960},34519.587927733118704,41481260.447537526488304
2456,US-CA-XSD-SDC-1786,SDC-1786,{BAB36F9D-ED46-4F44-899B-8B0FF6437637},4981.353332787860381,1431414.350554861826822
2457,US-CA-XSD-SDC-0531,SDC-0531,{98AA755F-4F55-4330-86FA-11E50F29D588},5074.150748356403710,1326208.187228338327259
