Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Hernandez Fire,"August 10, 2023 at 6:53 PM","August 11, 2023 at 8:20 PM",,
Rinconada Fire,"August 11, 2023 at 7:26 PM","August 12, 2023 at 7:05 PM",,
Trotter,"August 14, 2023 at 5:34 PM","August 16, 2023 at 5:55 PM",,
Deep Fire,"August 16, 2023 at 8:33 AM","October 24, 2023 at 2:44 PM",,
Slide 1 Fire,"August 16, 2023 at 8:41 AM","August 24, 2023 at 12:49 PM",,
Smith River Complex,"August 16, 2023 at 4:00 PM","November 23, 2023 at 3:17 PM",,
Cochrane Fire,"August 16, 2023 at 5:37 PM","August 23, 2023 at 2:23 PM",,
Thirty Five Fire,"August 17, 2023 at 1:39 PM","August 17, 2023 at 6:13 PM",,
Coyote Fire,"August 17, 2023 at 1:45 PM","August 20, 2023 at 7:13 PM",,
Happy Camp Complex,"August 18, 2023 at 10:12 AM","October 24, 2023 at 8:41 AM",,
South Fork Complex,"August 19, 2023 at 10:01 AM","August 19, 2023 at 10:01 AM",,
Plant Fire,"August 19, 2023 at 3:48 PM","August 22, 2023 at 8:46 PM",,
SRF Lightning Complex,"August 20, 2023 at 11:26 AM","October 30, 2023 at 11:52 AM",,
Creek Fire,"September 6, 2023 at 5:41 PM","September 11, 2023 at 12:26 PM",,
Knoll Fire,"September 10, 2023 at 4:27 PM","September 13, 2023 at 8:08 AM",,
Alta Fire,"September 12, 2023 at 5:32 PM","September 15, 2023 at 2:58 PM",,
Caliente Fire,"September 16, 2023 at 4:49 PM","September 19, 2023 at 2:09 PM",,
Meadow Fire,"September 26, 2023 at 4:00 PM","September 29, 2023 at 3:16 PM",,
Green Fire,"October 6, 2023 at 2:17 PM","October 9, 2023 at 6:48 PM",,
Grade Fire,"October 6, 2023 at 2:25 PM","October 7, 2023 at 7:47 PM",,
Williams Fire,"October 6, 2023 at 6:25 PM","October 10, 2023 at 7:32 PM",,
Wiley Fire,"October 7, 2023 at 3:00 PM","October 11, 2023 at 3:15 PM",,
Avenales Fire,"October 12, 2023 at 1:48 PM","October 25, 2023 at 1:24 PM",,
King Fire,"October 14, 2023 at 4:39 PM","October 31, 2023 at 2:21 PM",,
Stanley Fire,"October 17, 2023 at 3:37 PM","October 18, 2023 at 9:25 AM",,
Border 34 Fire,"October 29, 2023 at 5:13 PM","October 31, 2023 at 2:19 PM",,
Highland Fire,"October 30, 2023 at 2:05 PM","November 6, 2023 at 1:18 PM",,
Lizzie Fire,"October 30, 2023 at 6:24 PM","November 1, 2023 at 7:23 PM",,
Sun Fire,"November 9, 2023 at 1:45 PM","November 13, 2023 at 8:45 AM",,
Midway Fire,"November 12, 2023 at 3:33 PM","November 17, 2023 at 4:14 PM",,
Lamb Fire,"November 14, 2023 at 2:02 PM","November 15, 2023 at 7:55 AM",,
Manzanita Fire,"November 14, 2023 at 5:34 PM","November 15, 2023 at 7:55 AM",,
Adams Fire,"November 20, 2023 at 9:32 AM","November 21, 2023 at 5:04 PM",,
Sierra Fire,"November 20, 2023 at 11:19 AM","November 20, 2023 at 6:37 PM",,
Sage Fire,"November 23, 2023 at 2:45 PM","November 28, 2023 at 8:26 AM",,
Border 38 Fire,"December 5, 2023 at 2:06 PM","December 6, 2023 at 3:59 PM",,
Elm Fire,"December 9, 2023 at 10:50 AM","December 11, 2023 at 12:35 PM",,
South Fire,"December 9, 2023 at 11:34 AM","December 12, 2023 at 8:18 AM",,
Pine Fire,"December 15, 2023 at 2:20 PM","December 15, 2023 at 6:52 PM",,
